,Unnamed: 0,Unnamed: 0.1,name,address,type,ranking,price,direccion,comunidad,street,street_2,coordinates
421,50,50,Surtopía,"Nuñez de Balboa, 106, 28006 Madrid España",Mediterránea,#502 de 10.409 restaurantes en Madrid,€€ - €€€,Nuñez de Balboa 106 , Madrid España,Nuñez de Balboa 106,"Nuñez de Balboa 106, Madrid España","(40.4326446, -3.6796283)"
422,51,51,Il Boccone,"Calle de Juan de Mariana 4, 28045 Madrid España",Italiana,#547 de 10.409 restaurantes en Madrid,€€ - €€€,Calle de Juan de Mariana 4 , Madrid España,Calle de Juan de Mariana 4,"Calle de Juan de Mariana 4, Madrid España","(40.3989517, -3.6869451)"
423,52,52,Restaurante Soy de Pedro Espina,"Calle Viriato N 58, 28010 Madrid España",Japonesa,#751 de 10.409 restaurantes en Madrid,€€€€,Calle Viriato N 58 , Madrid España,Calle Viriato N 58,"Calle Viriato N 58, Madrid España","(40.5770122, -4.2081403)"
424,53,53,Taberna Bodegas Ricla,"Calle Cuchilleros 6 28005, 28005 Madrid España",Española,#811 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Cuchilleros 6 , Madrid España,Calle Cuchilleros 6,"Calle Cuchilleros 6, Madrid España","(40.4142751, -3.7081564)"
425,54,54,Dionisos Figueroa,"Calle de Augusto Figueroa 8, 28004 Madrid España",Mediterránea,#1.199 de 10.409 restaurantes en Madrid,€€ - €€€,Calle de Augusto Figueroa 8 , Madrid España,Calle de Augusto Figueroa 8,"Calle de Augusto Figueroa 8, Madrid España","(40.4228139, -3.6997945)"
426,55,55,Trattoria La Tavernetta,"Calle Orellana 17, 28004 Madrid España",Italiana,#506 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Orellana 17 , Madrid España,Calle Orellana 17,"Calle Orellana 17, Madrid España","(40.5711086, -4.268466)"
427,56,56,Grosso Napoletano,"Calle de Santa Engracia 48, 28010 Madrid España",Italiana,#657 de 10.409 restaurantes en Madrid,€€ - €€€,Calle de Santa Engracia 48 , Madrid España,Calle de Santa Engracia 48,"Calle de Santa Engracia 48, Madrid España","(40.4339361, -3.698086)"
428,57,57,El secreto de Madrid club gastronomico,"Calle Espoz y Mina 17, 28012 Madrid España",Café,#2.466 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Espoz y Mina 17 , Madrid España,Calle Espoz y Mina 17,"Calle Espoz y Mina 17, Madrid España","Calle Espoz y Mina 17, Madrid España"
429,58,58,La Casita de Sabino Madrid,"Calle del Doctor Fleming 32, 28036 Madrid España",Marisco,#1.448 de 10.409 restaurantes en Madrid,€€ - €€€,Calle del Doctor Fleming 32 , Madrid España,Calle del Doctor Fleming 32,"Calle del Doctor Fleming 32, Madrid España","(40.4605648, -3.6879141)"
430,59,59,NAP. Neapolitan Authentic Pizza,"Calle Olid 11, 28010 Madrid España",Italiana,#2.349 de 10.409 restaurantes en Madrid,€,Calle Olid 11 , Madrid España,Calle Olid 11,"Calle Olid 11, Madrid España","(40.4315985, -3.703331)"
